Restaurant_Name,Topic,Rating_Overall,Detail,Date_Written
Accha Authentic Indian Cuisine.,No Title,,"Although not quite like we experience in the UK, I would recommend this restaurant if you enjoy Indian food. We all enjoyed our food but especially enjoyed the onion bhajis which were amazing and vegetable jalfrezi. Naans were great too. Loved that you are asked how spicy you want everything and that you have a bell to ring for service. Prices are at least half the price we'd usually pay.","January 1, 2019"
Accha Authentic Indian Cuisine.,No Title,,The service was good. The food was not too spicy. It was not pricey (quite affordable). I would recommend a visit. Try the Butter Naan (the Naans are large !) and the Paneer Lababdar.,"December 25, 2018"
Accha Authentic Indian Cuisine.,No Title,,"Excellent food in cozy surroundings. Very clean and inviting restaurant. You can sit outside and enjoy cool nights or inside in air-conditioning. The food is very tasty. Chicken is Juicy and tender, lamb is succulent and tasty. Everything is made from quality ingredients and it shows. Highly recommended.","December 6, 2018"
Accha Authentic Indian Cuisine.,No Title,,Food was pretty good but I got food poisoning from the lamb madras. Service was pretty good but I wouldn’t eat her again since I was throwing up all night from the food.,"December 2, 2018"
Accha Authentic Indian Cuisine.,No Title,,"Very delicious Indian food! We ordered one butter chicken, one rice, one garlic naan and one butter naan and couldn’t finish it with the two of us. We especially liked the naan a lot. Friendly employees, good food and relaxing vibes!","November 28, 2018"
Accha Authentic Indian Cuisine.,No Title,,"Have heard a lot of people talk about this place (mind you, mixed opinions). Some feel it had better food when they were in the old location, (I haven't been there), some feel that the food is great but I prefer to trust my experience. I finally went there, first time with a friend and the second alone. I like the location, the ambience, and the set-up. The staff was welcoming, helpful and generally warm and attentive. The place is kid friendly, quite relaxed, clean and comfortable. Let's get to the food part; Okay, I am Indian and frankly wasn't impressed by the food. I found the Dal to be just about right except for the fact that it was too bland. The Naan had ample Garlic, which I personally love, but it was too white and a bit on the chewy side. Tried the Tandoori Aloo and that I can say was very well done. The Green Chutney was well made. All in all I would say that I can always skip a trip to Accha. They miss the Indian touch. In terms of pricing, I will put them in the expensive category if I have to compare what I generally spend on 1 meal in Chiang Mai. They have pretty much the same prices as some restaurants in Delhi, Bombay. Go there if you want to have a little bit of an Indian experience one of the evenings while I enjoy my Thai meals :D :D Read less","October 15, 2018"
Accha Authentic Indian Cuisine.,No Title,,This is one of the best Indian food I ever had outside if India. Ambiance and service is at par. Owner is friendly. Close your eyes and go for it. Try their set menu. Its awesome.,"September 23, 2018"
Accha Authentic Indian Cuisine.,No Title,,"Ordered 2 naans and fried fish. The naans were terrible, the fried fish is okay. The service is below par, no welcome or something they really doesnt say anything.. Like a robot waiter","September 12, 2018"
Accha Authentic Indian Cuisine.,No Title,,"This is only Indian cuisine we found in this area . Food is really amazing and authentic . We enjoyed the food and service . Everyone should must try , they guys are awesome . We had all three meals at this place .","September 8, 2018"
Accha Authentic Indian Cuisine.,No Title,,We live in Chiang Mai and have recently been to this restaurant twice. Once as a couple and another time in a larger group. The food is wonderful with lots of variety. The service is just appalling- wait so long for them to come and take orders and we had to go to the front desk to order drinks. The staff are very slow and only 1 Indian girl is on the ball. You need to either put more staff on or train them in service techniques. It is a shame because the food is so good.,"September 2, 2018"
Accha Authentic Indian Cuisine.,No Title,,Lovely lovely food. We ordered too much as usual!!! Great place. Looks really clean you can see the chefs working through a glass window. The outside has a beautiful seating area. The price is great. We paid the equivalent of 18 pounds sterling for starters and main course plus beer. All round great experience. Highly recommended :),"August 24, 2018"
Accha Authentic Indian Cuisine.,No Title,,"This is a first time for my review but I go here several time. Lamb kadhi is the recommend, I order it every time when I go to Accha. At the first time that I ate it, I fell in love with Indian food, lamb was so soft and get along well with soup. Butter chicken and garlic naan is good too.","August 17, 2018"
Accha Authentic Indian Cuisine.,No Title,,"We ordered chicken , prawn biryani and it was awesome. Haven't tasted such a yummy biryani. It is definetly worth a try. Both the days we had our lunch from this restaurant. I would recommend to anyoneone who would like to have an authentic indian meal. There is also takeaway option.","August 10, 2018"
Accha Authentic Indian Cuisine.,No Title,,"Delicious, authentic Indian food, reasonably priced, pleasant decor. The waitress didnt speak any English and missed our order for one family member's main course. Although after all else had arrived and time had elapsed, we repeatedly gestured, pointed at the menu and asked, she did not catch on to her mistake and it wasn't until the manager (?) happened to pass by - after everyone else had finished their meal - that the message got across. She promptly ordered the missing course and we all waited as our hungry daughter rushed through her meal. No compensation, even symbolic, was offered. In summary, food was very good. Service, though well intentioned, was less so.","August 9, 2018"
Accha Authentic Indian Cuisine.,No Title,,There are only 3 Indian restaurants in Chiang Rai we checked this one out to see it was open for lunch. Set in a lovely court yard with shade the food was excellent. The chicken madras and vindaloo were wonderful. The naan and allo mutter were also enjoyable. Service was great. Would recommend to any curry lover.,"July 27, 2018"
Accha Authentic Indian Cuisine.,No Title,,"I really liked eating here with my study abroad group. The vegetarian selection is wide and has a dish for anyone who wants mild to super spicy. If you aren’t into super spicy, order the chicken tiki Marsala but mention mild because my friends forgot to do that and it was very spicy. The lemon soda sweetened literally tasted like a margarita. It was so good! I also recommend the mango drink.","July 12, 2018"
